Dish Name,Category,Calories (kcal),Carbohydrates (g),Protein (g),Fats (g)
Pickled cabbage,Veg,13.69,2.56,0.39,0.14
Coconut pickle (Nariyal ka aachar),Veg,517.26,11.53,3.02,51.71
Potato pickle (Aloo ka achaar),Veg,369.14,7.87,2.07,36.46
Mango murabba candy,Veg,293.35,77.32,0.27,0.05
Afghani chicken,Non-Veg,151.51,1.95,15.66,9.07
Fish orly,Non-Veg,563.7,4.27,5.87,58.18
Hariyali Fish Tikka,Non-Veg,150.24,2.21,14.01,9.41
Chicken manchurian,Non-Veg,142.34,6.06,9.53,11.96
Handi chicken,Non-Veg,166.02,1.49,12.32,12.46
Lemon chicken,Non-Veg,169.79,0.55,20.2,9.66
Lemon butter fish,Non-Veg,160.25,0.75,16.38,10.26
Baked eggs in tomato sauce,Egg,80.05,3.78,4.92,5.22
Egg in a pepper,Egg,128.78,0.17,12.64,8.68
Spinach mushroom scrambled egg (Palak mushroom bhurji),Egg,158.85,0.59,13.28,11.51
Corn omelette/omlet,Egg,166.93,1.57,11.37,12.89
Cajun chicken,Non-Veg,184.94,1.94,12.69,13.99
Paaner do pyaza,Veg,127.7,3.41,4.22,10.87
Cabbage manchurian (Pattagobhi manchurian),Veg,224.26,4.85,0.64,22.48
Gobi 65,Veg,278.29,3.59,0.56,29.11
Paneer lababdar,Veg,105.48,3.37,3.98,8.46
Roasted cauliflower steak,Veg,78.68,2.02,2.05,6.7
Sauteed radishes with green beans,Veg,94.32,6.04,2.41,6.61
Garlic chutney/Poondu chutney (Lahasun ki chutney),Veg,255.51,20.44,3.34,17.55
Schezwan chutney,Veg,205.19,10.79,3.33,17.72
Onion chutney (Pyaaz ki chutney/Vengaya chutney),Veg,143.94,13.52,2.97,8.38
Dates chutney (Khajoor ki chutney),Veg,103.57,21.69,1.07,1.12
Chicken salad,Non-Veg,338.19,1.3,15.33,30.26
Macaroni salad,Veg,262.19,21.63,5.02,17.78
Cabbage raita (Pattagobhi raita),Veg,84.84,5.25,3.24,5.76
Pomegranate raita (Anaar ka raita),Veg,72.64,7.15,4.05,3.24
Onion raita (Pyaaz ka raita),Veg,71.56,7.86,4.86,2.43
Green chilli raita (Hari mirch ka raita),Veg,77.13,7.66,5.58,2.92
Kale salad,Veg,177.71,5.01,4.86,15.33
Spinach and paneer souffle,Veg,186.19,9.64,7.56,13.49
Masala souffle,Veg,123.51,8.02,6.38,7.37
Chicken and cheese souffle,Non-Veg,182.35,3.47,9.07,14.74
Tamarind chutney (Chintapandu pachadi/Puli chutney),Veg,109.15,25.07,0.88,0.48
Pav bhaji masala,Veg,230.47,29.15,9.13,10.96
Green chutney,Veg,79.42,10.01,5.42,1.6
Sago khitchdi/khichri (Sabudana khitchdi/khichri),Veg,187.16,22.41,2.72,10.1
Gram flour chilla/cheela (Besan chilla/cheela),Veg,135.93,21.03,7.8,2.85
Vegetable namkeen jave,Veg,112.23,18.98,2.93,2.51
Khakhra,Veg,178.5,27.66,4.78,5.32
Moong bean dosa (Pesarattu),Veg,285.96,31.91,12.32,11.67
Methi thepla,Veg,346.16,41.34,8.98,15.95
Rice puttu (Ari puttu),Veg,81.98,11.82,1.26,3.13
Buckwheat pancake (Khura),Veg,263.3,27.28,2.91,16.43
Quinoa khichdi/khichri,Veg,64.01,8.83,3.18,1.59
Khakhra chaat,Veg,358.66,16.64,4.52,30.65
Banana appam,Veg,469.81,20.06,1.17,42.53
Veg manchurian,Veg,585.64,6.82,0.89,61.65
Pav bhaji,Veg,96.53,11.99,2.66,4.32
Rice murukku,Veg,593.99,33.29,5.41,48.22
Bhel puri,Veg,509.89,16.47,3.52,47.91
Semolina dhokla (Suji/Rava dhokla),Veg,194.91,30.86,5.44,5.2
Spicy corn chaat,Veg,479.8,11.45,4.61,46.55
Jackfruit fritters (Ponsa mulik/Kathal ka pakora),Veg,597.79,24.0,2.34,54.41
Banana chips (Kele ke chips),Veg,665.67,7.32,0.37,70.46
Wheat cake,Veg,314.63,41.13,4.79,14.95
Mango cheesecake,Veg,152.46,20.06,2.39,7.3
Carrot cake (Gajar ka cake),Veg,255.59,35.98,5.6,10.27
Semolina cake (Suji/Rava cake),Veg,374.14,31.32,6.58,25.18
Finger millet cake (Ragi cake),Veg,279.46,38.93,3.96,12.27
Honey cake,Veg,333.59,49.04,3.08,14.7
Almond cardamom cake (Badam elaichi cake),Veg,356.35,34.53,7.18,21.36
Tutti frutti cake,Veg,347.72,52.94,4.49,12.68
Ham and Bean soup,Non-Veg,96.04,4.18,10.61,4.15
Whey soup,Veg,68.91,6.26,3.45,3.34
Bottle gourd soup (Ghiya/Lauki soup),Veg,23.05,1.16,0.45,1.79
Baked potato soup,Veg,147.05,5.85,5.73,11.21
Pumpkin soup,Veg,40.05,2.08,0.47,3.2
Sweet corn soup,Veg,32.25,3.56,0.99,1.63
Paneer soup,Veg,47.85,2.42,3.22,2.8
Curried Cauliflower soup,Veg,37.32,3.12,6.72,9.77
Millet soup,Veg,55.99,8.22,11.26,12.57
Lemon coriander soup,Veg,108.06,10.32,2.27,6.26
Garlic soup,Veg,194.86,6.99,2.38,17.62
Dal makhani,Veg,74.04,7.96,3.32,3.06
Dalma,Veg,118.93,15.04,4.91,4.58
Split bengal gram dal (Channa dal),Veg,99.67,9.99,4.15,4.62
Horsegram dal (Kulthi dal),Veg,55.65,8.21,2.91,1.13
Panchmel dal,Veg,111.22,10.71,4.63,5.36
Dal dhokli,Veg,68.74,8.55,2.96,2.47
Gujarati handvo,Veg,207.09,31.86,8.24,4.8
Sev (Omapodi/Karapusa),Veg,609.14,12.87,5.12,60.08
Papdi,Veg,708.96,12.89,1.83,72.11
Jowar dosa,Veg,294.35,40.53,8.5,10.28
Bread roll,Veg,435.46,16.12,2.85,40.25
Soya seekh kebab,Veg,115.05,10.0,5.4,5.88
Classic seasoned black beans,Veg,28.78,7.66,8.01,8.28
Maa chaane ki dal,Veg,344.67,43.11,19.8,9.5
Garlic chickpea soup (Lahasun aur chane ka shoraba),Veg,89.53,13.92,4.45,2.01
White sauce (thin),Veg,115.17,6.58,3.31,8.41
White sauce (medium),Veg,151.27,7.98,3.36,11.76
White sauce (thick),Veg,209.69,10.24,3.43,17.19
Cheese sauce,Veg,194.76,7.08,7.68,15.12
Egg sauce,Egg,146.85,5.88,5.97,11.08
Mushroom sauce,Veg,137.56,7.31,3.39,10.51
Mustard sauce,Veg,158.58,8.29,3.98,12.17
Brown sauce,Veg,109.18,5.38,11.92,23.67
Classic italian pasta,Veg,42.12,4.4,0.57,2.45
Pasta spinach sauce,Veg,85.46,1.76,1.76,7.9
Pasta cheese sauce,Veg,149.26,9.0,4.33,10.84
Mayonnaise,Veg,774.86,1.65,1.86,84.52
Low calorie quick mayonnaise,Veg,242.89,4.71,1.41,24.35
Thousand island dressing,Veg,407.87,4.49,1.37,42.87
Curd dressing,Veg,78.8,8.03,5.59,2.9
Short crust pastry,Veg,422.1,44.72,6.11,23.98
Choux pastry,Veg,222.37,16.2,5.55,14.96
Flaky pastry,Veg,443.94,33.61,4.69,31.99
Sponge cake,Veg,253.77,44.63,9.18,4.74
Glace icing,Veg,323.51,86.31,0.01,0.01
Royal icing,Veg,332.58,86.53,1.74,0.02
American frosting,Veg,257.57,67.48,1.05,0.01
Gum icing,Veg,223.07,53.19,5.94,0.0
Channa murmura premix,Veg,339.09,72.59,10.59,3.28
Cracked wheat and green gram dal premix (Dalia moong dal premix),Veg,362.16,64.75,15.89,5.11
Rice flakes and roasted channa,Veg,333.4,71.94,10.57,2.94
Spinach soup in milk,Veg,56.72,3.98,2.89,3.2
Vegetable soup,Veg,55.21,7.6,2.22,1.55
Mashed banana with milk,Veg,95.43,14.62,2.51,2.99
Poha with curd (Poha aur dahi),Veg,173.32,26.72,6.01,4.65
Potato with curd,Veg,73.18,12.01,3.19,1.33
Sweet wheat porridge (Sweet dalia),Veg,140.66,23.77,5.11,2.79
Vegetable khichdi/khichri,Veg,143.17,19.57,5.61,4.53
Moong dal mixture,Veg,158.84,33.93,4.62,1.0
Cracked wheat khichri/khichdi (Dalia khichri/khichdi),Veg,167.45,22.35,7.56,5.52
Stewed apple,Veg,91.93,22.49,0.17,0.37
Lemon squash (Nimbu ka squash),Veg,184.56,48.88,0.15,0.06
Orange squash (Santre ka squash),Veg,193.26,50.88,0.22,0.04
Lichi squash,Veg,198.33,51.96,0.3,0.08
Mango squash (Aam ka squash),Veg,194.66,50.96,0.17,0.17
Pineapple squash (Ananas ka squash),Veg,195.02,51.34,0.16,0.05
Lemon and ginger squash (Nimbu aur adrak ka squash),Veg,170.34,44.06,0.54,0.21
Apple jam (Seb ka murabba),Veg,188.79,48.56,0.14,0.32
Plum jam (Aloo bukhara jam),Veg,178.89,46.2,0.31,0.19
Pineapple jam,Veg,149.18,38.27,0.32,0.15
Guava jelly (Amrood ki jelly),Veg,115.74,28.18,1.11,0.25
Orange marmalade (Santray ka murabba),Veg,104.17,25.94,0.66,0.13
Carrot murabba (Gajar ka murabba),Veg,175.24,45.6,0.32,0.16
Gooseberry marmalade (Amla murabba),Veg,123.16,32.34,0.14,0.03
Ginger candy (Adrak ki candy),Veg,195.71,50.38,0.69,0.27
Mango pickle (Aam ka achaar),Veg,192.12,8.11,1.6,17.89
Mixed vegetable pickle (Sabziyoon ka achaar),Veg,211.2,7.48,1.9,19.68
Sweet lemon pickle (Neembu ka meetha achaar),Veg,69.54,16.87,1.22,0.21
Plum chutney (Aloo bukhara ki chutney),Veg,177.11,44.95,0.47,0.29
Raw mango chutney (Kachhe aam/Kairi ki chutney),Veg,193.13,49.94,0.51,0.16
Tomato sauce,Veg,34.33,7.23,0.81,0.27
Tomato puree,Veg,20.62,3.68,0.75,0.25
Garam masala,Veg,254.21,26.2,9.89,10.97
Chat masala,Veg,222.58,23.87,8.19,9.91
Kashmiri masala,Veg,389.02,23.16,8.26,31.03
Rasam powder (Rasam masala),Veg,267.96,25.19,12.04,11.8
Sambar powder (Sambar masala),Veg,297.46,23.38,12.5,15.58
Tartare sauce,Veg,610.93,2.96,1.44,66.12
Barbeque sauce,Veg,121.93,20.46,0.96,4.51
Bread sauce,Veg,111.04,8.69,3.46,7.05
Green chilli sauce,Veg,46.06,7.36,1.25,0.27
Home made plain noodles,Veg,238.78,44.5,6.21,3.56
Dal moong,Veg,43.69,4.92,2.2,1.62
Cumin seeds baghar (Jeera baghar/tadka),Veg,736.81,5.22,3.34,78.77
Onion tomato baghar (Pyaaz tamatar ka tadka),Veg,137.52,6.17,1.26,11.98
Mustard seeds baghar (Mustard seed tadka),Veg,552.59,10.45,4.73,54.3
Hot cherry sauce,Veg,252.74,67.95,0.13,0.07
Apple jelly (Seb ki jelly),Veg,152.13,39.37,0.1,0.21
Marmalade (Murabba),Veg,143.76,37.64,0.23,0.04
Plum squash (Aloo bukhara squash),Veg,211.17,55.51,0.16,0.1
Lemon green chilli pickle,Veg,14.07,2.14,0.85,0.24
Brinjal pickle (Baingan ka achaar),Veg,139.01,4.23,2.24,12.98
Sweet and sour tomato pickle,Veg,60.88,6.55,1.26,3.24
Jhatpat achar with carrot,Veg,91.21,6.32,1.98,6.55
Tomato chutney (Tamatar ki chutney),Veg,176.07,31.85,0.97,6.01
Tomato ketchup,Veg,33.07,6.48,0.91,0.3
Bengal 5 Spice Blend (Panch Phoran),Veg,289.79,20.0,18.26,22.16
