Dish Name,Category,Calories (kcal),Carbohydrates (g),Protein (g),Fats (g)
Whole masoor (Masoor ki dal),Veg,54.05,5.37,2.28,2.52
Whole moth (Moth ki dal),Veg,55.0,5.74,2.01,2.62
Whole urad (Urad ki dal),Veg,53.8,5.05,2.21,2.62
Moti mahal dal (Urad rajmah mix dal),Veg,103.13,8.74,3.93,5.66
Black channa curry/Bengal gram curry,Veg,140.68,14.11,5.67,6.61
Chickpeas curry (Safed channa curry),Veg,163.43,19.98,6.1,6.84
Lobia curry,Veg,148.99,17.88,6.06,5.62
Soyabean curry,Veg,163.28,6.76,10.43,10.19
Kidney bean curry (Rajmah curry),Veg,143.73,16.38,5.95,5.77
Sambar,Veg,96.92,10.57,3.35,4.38
Besan kadhi with pakodies,Veg,403.35,3.56,1.64,42.59
Khatta channa,Veg,202.57,21.14,6.3,10.56
Sprouted moong dal chat,Veg,32.47,6.01,1.35,0.32
Potato cauliflower (Aloo gobhi),Veg,106.18,5.99,1.9,8.13
Potato capsicum (Shimla mirch aloo),Veg,125.53,8.72,1.41,9.33
Cabbage and peas (Pattagobhi aur matar),Veg,63.88,6.24,3.24,2.64
Carrot and fenugreek leaves (Gajar methi),Veg,61.92,4.17,2.1,3.81
Potato fenugreek (Aloo methi),Veg,135.15,8.47,2.25,10.04
Brinjal bhartha (Baingan ka bhartha),Veg,65.12,4.4,1.38,4.48
Dry potato (Sookhe aloo),Veg,103.15,14.38,1.62,4.18
Beans with coconut (Nariyal aur sem/phali),Veg,131.63,4.39,2.62,11.39
Cauliflower with coconut (Nariyal ke saath phoolgobhi),Veg,132.11,3.99,2.64,11.56
Carrot and cabbage with coconut,Veg,106.61,4.99,1.82,8.62
Raw turnip with coconut,Veg,132.15,5.78,1.8,11.47
Raw papaya with coconut (Papaya thoran),Veg,132.75,5.58,1.54,11.42
Stuffed okra (Bharwa bhindi),Veg,94.34,3.85,2.08,7.66
Stuffed round gourd (Bharwa tinde),Veg,72.8,4.02,1.1,5.75
Stuffed capsicum (Bharwa shimla mirch),Veg,90.94,8.26,1.34,5.7
Stuffed brinjal (Bharwa baingan),Veg,93.0,3.96,1.53,7.73
Stuffed tomatoes (Bharwa tamatar),Veg,93.35,6.19,3.28,6.06
Pea potato curry (Aloo matar),Veg,100.92,9.74,3.48,5.13
Pea paneer curry (Matar paneer),Veg,134.83,9.29,6.61,7.75
Pea mushroom curry (Matar mushroom),Veg,93.3,7.41,3.87,5.16
Pea curry (Matar ki sabzi),Veg,102.99,9.2,4.51,5.11
Pea vadi curry,Veg,101.95,8.9,4.64,5.08
Paneer curry,Veg,176.52,8.4,7.8,12.38
Lotus stem curry (Kamal kakdi curry),Veg,110.34,9.24,1.53,7.25
Gravy for kofta,Veg,125.59,6.31,1.75,10.35
Pea kofta curry (Matar kofta curry),Veg,595.66,4.17,2.01,63.39
Spinach kofta curry (Palak kofta curry),Veg,571.78,3.56,1.09,61.49
Paneer kofta curry,Veg,670.91,3.27,2.39,72.06
Lotus stem kofta curry (Kamal kakdi kofta curry),Veg,633.56,5.01,0.96,67.76
Raw banana kofta curry (Kela kofta curry),Veg,627.27,3.4,0.62,67.98
Cauliflower kofta curry (Phoolgobhi kofta curry),Veg,641.1,2.62,1.04,69.62
Cabbage kofta curry (Pattagobhi kofta curry),Veg,639.81,2.87,0.98,69.4
Ghiya/Lauki Kofta Curry,Veg,638.71,2.71,0.89,69.4
Spinach paneer kofta curry (Palak paneer kofta curry),Veg,606.03,2.94,1.43,65.41
Vegetarian egg kofta curry,Egg,627.41,4.26,1.33,67.24
Baked vegetables,Veg,88.99,8.44,3.67,4.44
Cauliflower musallam (Phoolgobhi musallam),Veg,58.83,4.48,1.89,3.55
Baked vegetables with spinach,Veg,77.79,6.93,3.22,4.03
Baked potato with skin,Veg,135.77,11.11,3.43,8.5
Shepherd's pie (vegetarian),Veg,135.63,12.03,5.04,7.3
Baked brinjal in tomato sauce,Veg,38.63,4.13,1.58,1.62
Dum aloo,Veg,682.33,3.33,0.7,74.01
Spinach paneer (Palak paneer),Veg,77.68,4.43,4.03,4.76
Methi chaman,Veg,475.62,2.78,1.54,50.91
Sarson ka saag,Veg,87.84,5.33,3.0,5.86
Jackfruit sabzi (Kathal ki sabzi),Veg,625.4,3.4,0.69,67.6
Avial,Veg,124.56,8.47,2.46,8.94
Al yakhani,Veg,147.54,4.65,2.86,13.14
Shahi paneer,Veg,156.5,6.64,5.06,12.34
Paneer in butter sauce,Veg,145.61,9.7,6.99,8.81
Methi malai paneer,Veg,194.98,8.15,7.34,14.76
Chilli paneer,Veg,777.51,3.31,2.1,84.01
Paneer makhana korma,Veg,775.82,4.63,3.24,82.76
Kadhai Paneer,Veg,107.99,7.34,4.33,6.81
Roghan josh,Non-Veg,139.59,4.93,9.56,9.02
Spinach mutton (Palak mutton),Non-Veg,80.32,3.45,5.74,4.71
Pea keema curry (Matar keema ki sabzi),Non-Veg,133.0,6.24,8.43,8.14
Keema kofta curry,Non-Veg,154.45,5.64,9.77,10.39
Kashmiri mutton koftas (Gushtaba),Non-Veg,97.42,3.04,6.33,6.77
Mutton yakhni,Non-Veg,104.13,0.84,8.27,7.7
Chicken yakhni,Non-Veg,99.0,0.78,10.66,6.1
Mutton do piaza,Non-Veg,183.3,4.14,9.39,14.41
Mutton chops,Non-Veg,663.64,1.48,4.03,71.31
Shammi kebab,Non-Veg,685.69,3.54,4.52,72.61
Scotch egg,Egg,676.89,1.91,4.05,72.62
Shepherd's pie (with minced meat),Non-Veg,142.78,8.06,7.45,8.88
Chicken curry,Non-Veg,129.22,3.38,11.79,7.57
Tandoori chicken,Non-Veg,145.2,2.34,16.26,7.93
Butter chicken,Non-Veg,137.0,3.74,10.92,8.7
Chicken kebab,Non-Veg,729.41,1.11,3.71,78.89
Chilli chicken,Non-Veg,198.83,2.86,9.57,16.56
Fried chicken with tomato sauce,Non-Veg,125.03,2.51,11.48,7.61
Fish curry (Machli curry),Non-Veg,111.13,3.77,8.76,6.69
Fried fish (Indian style),Non-Veg,658.54,5.4,4.35,68.88
Fried fish and Chips (English Style),Non-Veg,651.75,2.77,3.36,69.69
Tomato fish,Non-Veg,489.79,3.18,2.39,51.91
Baked fish with cheese sauce,Non-Veg,113.96,4.06,8.64,7.02
Fish tikka,Non-Veg,117.33,3.91,16.0,4.15
Tandoori fish,Non-Veg,95.98,2.37,11.19,4.64
Paneer, apple and pineapple salad,Veg,95.08,8.35,3.88,5.07
